phlevels_id,phlevels_max,phlevels_min,vegetable_id,cflevel,ppmlevel
1,7.5,6.5,1,8-18,560-1260
2,6.8,6.0,2,14-18,980-1260
3,6.0,6.0,3,20-40,1400-2800
4,6.5,6.0,4,8-50,1260-3500
5,6.5,6.0,5,18-22,1260-1540
6,6.8,6.0,6,28-35,1960-2450
7,6.5,6.5,7,25-30,1750-2100
8,7.0,6.5,8,25-30,1750-2100
9,6.5,6.0,9,18-22,1260-1540
10,6.3,6.3,10,16-20,1120-1400
11,7.0,6.5,11,5-20,1050-1400
12,6.5,6.5,12,18-24 ,1260-1680
13,5.5,5.5,13,17-25,1190-1750
14,6.0,6.0,14,25-35,1750-2450
15,5.5,5.5,15,20-24,1400-1680
16,6.0,6.0,16,18-20,1260-1400
17,6.0,6.0,17,14-18,980-1260
18,7.0,6.5,18,14-18,980-1260
19,7.0,6.0,19,8-12,560-840
20,6.0,6.0,20,18-24,1260-1680
21,6.5,6.5,21,20-24,1400-1680
22,6.7,6.0,22,14-18,980-1260
23,7.0,7.0,23,15-20,1050-1400
24,6.0,6.0,24,14-18,980-1260
25,7.0,6.0,25,8-18,980-1260
26,6.5,6.0,26,20-50,1400-3500
27,6.0,5.0,27,20-25,1400-1750
28,7.5,5.5,28,18-24,1260-1680
29,7.0,6.0,29,16-22,840-1540
30,7.0,6.0,30,18-23,1260-1610
31,7.0,6.0,31,18-23,1260-1610
32,6.0,6.0,32,16-24,840-1680
33,6.0,5.5,33,20-25,1400-1750
34,5.5,5.0,34,25-30,1750-2100
35,6.5,6.0,35,20-50,1400-3500
36,6.5,6.0,36,18-24,1260-1680
37,6.0,6.0,37,18-24,1260-1680
